name,pic,quote,ranking,score,score_num,star,subject
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,承前启后的史诗篇章。,49,9.2,759319,rating45-t,https://movie.douban.com/subject/1291572/
闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,史上最美的探戈。,50,9.1,892254,rating45-t,https://movie.douban.com/subject/1298624/
罗马假日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,爱情哪怕只有一天。,51,9.1,956448,rating45-t,https://movie.douban.com/subject/1293839/
死亡诗社,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,52,9.2,733272,rating45-t,https://movie.douban.com/subject/1291548/
绿皮书,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,去除成见，需要勇气。,53,8.9,1662699,rating45-t,https://movie.douban.com/subject/27060077/
天堂电影院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,54,9.2,682505,rating45-t,https://movie.douban.com/subject/1291828/
大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,经典之作，历久弥新。,55,9.4,442162,rating45-t,https://movie.douban.com/subject/1418019/
指环王1：护戒使者,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,传说的开始。,56,9.1,853732,rating45-t,https://movie.douban.com/subject/1291571/
黑客帝国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,视觉革命。,57,9.1,843705,rating45-t,https://movie.douban.com/subject/1291843/
教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,优雅的孤独。,58,9.3,557383,rating45-t,https://movie.douban.com/subject/1299131/
狮子王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590826.jpg,动物版《哈姆雷特》。,59,9.1,849542,rating45-t,https://movie.douban.com/subject/1301753/
辩护人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,电影的现实意义大过电影本身。,60,9.2,592190,rating45-t,https://movie.douban.com/subject/21937445/
饮食男女,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,人生不能像做菜，把所有的料都准备好了才下锅。,61,9.2,625668,rating45-t,https://movie.douban.com/subject/1291818/
