name,quote,ranking,score,score_num,star
未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,132,9.1,336131,rating45-t
哈利·波特与火焰杯,,133,8.8,666755,rating45-t
教父3,任何信念的力量，都无法改变命运。,134,9.0,376912,rating45-t
怪兽电力公司,不要给它起名字，起了名字就有感情了。,135,8.8,676604,rating45-t
萤火之森,触不到的恋人。,136,8.9,543156,rating45-t
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,137,8.7,805779,rating45-t
玩具总动员3,跨度十五年的欢乐与泪水。,138,8.9,520899,rating45-t
新世界,要做就做得狠一点，这样才能活下去。,139,8.9,439212,rating45-t
釜山行,揭露人性的丧尸题材力作。,140,8.6,1206419,rating45-t
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,141,8.7,952806,rating45-t
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,142,8.8,612308,rating45-t
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,143,9.0,423126,rating45-t
告白,没有一人完全善，也没有一人完全恶。,144,8.8,674408,rating45-t
哪吒闹海,想你时你在闹海。,145,9.2,261718,rating45-t
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,146,8.8,570718,rating45-t
茶馆,,147,9.6,148544,rating5-t
九品芝麻官,,148,8.7,685133,rating45-t
射雕英雄传之东成西就,百看不厌。 ,149,8.7,640694,rating45-t
喜宴,中国家庭的喜怒哀乐忍。,150,9.0,364954,rating45-t
模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,151,8.8,650543,rating45-t
头号玩家,写给影迷，动漫迷和游戏迷的一封情书。,152,8.7,1375524,rating45-t
色，戒,假戏真情，爱欲深海,153,8.7,813875,rating45-t
我是山姆,爱并不需要智商 。,154,9.0,339609,rating45-t
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,155,8.8,592612,rating45-t
花样年华,偷情本没有这样美。,156,8.7,611642,rating45-t
血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,157,8.7,786323,rating45-t
头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,158,8.8,618942,rating45-t
七武士,时代悲歌。,159,9.3,199417,rating45-t
恐怖直播,恐怖分子的“秋菊打官司”。,160,8.7,655137,rating45-t
惊魂记,故事的反转与反转，分裂电影的始祖。,161,9.0,297061,rating45-t
黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,162,8.8,449294,rating45-t
你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,163,8.5,1417173,rating45-t
电锯惊魂,真相就在眼前。,164,8.7,536147,rating45-t
三块广告牌,怼天怼地，你走后，她与世界为敌。,165,8.7,824398,rating45-t
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,166,8.8,454813,rating45-t
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,167,8.7,843224,rating45-t
心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,168,8.7,524587,rating45-t
谍影重重3,像吃了苏打饼一样干脆的电影。,169,8.8,420504,rating45-t
英雄本色,英雄泪短，兄弟情长。 ,170,8.6,544337,rating45-t
上帝之城,被上帝抛弃了的上帝之城。,171,9.0,302652,rating45-t
风之谷,动画片的圣经。,172,8.9,356185,rating45-t
纵横四海,香港浪漫主义警匪动作片的巅峰之作。,173,8.8,428006,rating45-t
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,174,8.9,331586,rating45-t
海街日记,是枝裕和的家庭习作。,175,8.8,451543,rating45-t
爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,176,8.9,405512,rating45-t
绿里奇迹,天使暂时离开。,177,8.9,331793,rating45-t
记忆碎片,一个针管引发的血案。,178,8.7,605866,rating45-t
疯狂的石头,中国版《两杆大烟枪》。,179,8.6,826726,rating45-t
小丑,,180,8.7,1011378,rating45-t
岁月神偷,岁月流逝，来日可追。,181,8.7,575947,rating45-t
雨中曲,骨灰级歌舞片。,182,9.1,227498,rating45-t
背靠背，脸对脸,,183,9.5,135481,rating5-t
忠犬八公物语,养狗三日，便会对你终其一生。,184,9.2,197126,rating45-t
荒蛮故事,始于荒诞，止于更荒诞。,185,8.8,446080,rating45-t
2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,186,8.9,332199,rating45-t
心灵奇旅,,187,8.7,988249,rating45-t
小偷家族,我们组成了家。,188,8.7,815732,rating45-t
无间道2,,189,8.7,482139,rating45-t
无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,190,8.7,543007,rating45-t
爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,191,8.7,591309,rating45-t
冰川时代,松鼠才是角儿。,192,8.6,618308,rating45-t
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,193,8.6,747946,rating45-t
恐怖游轮,不要企图在重复中寻找已经失去的爱。,194,8.5,868493,rating45-t
东邪西毒,电影诗。,195,8.6,579164,rating45-t
牯岭街少年杀人事件,弱者送给弱者的一刀。,196,8.9,302718,rating45-t
魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,197,8.7,462474,rating45-t
遗愿清单,用剩余不多的时间，去燃烧整个生命。,198,8.7,464241,rating45-t
东京教父,,199,9.0,232254,rating45-t
大佛普拉斯,人们可以登上月球，却永远无法探索人们内心的宇宙。,200,8.7,461528,rating45-t
你看起来好像很好吃,感情不分食草或者食肉。,201,8.9,334655,rating45-t
真爱至上,爱，是个动词。,202,8.6,733938,rating45-t
黑天鹅,黑暗之美。,203,8.6,782553,rating45-t
可可西里,坚硬的信仰。,204,8.9,304836,rating45-t
城市之光,永远的小人物，伟大的卓别林。,205,9.3,147693,rating45-t
源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,206,8.5,838578,rating45-t
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,207,8.7,405668,rating45-t
海边的曼彻斯特,我们都有权利不与自己的过去和解。,208,8.6,544499,rating45-t
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,209,8.5,674486,rating45-t
初恋这件小事,黑小鸭速效美白记。,210,8.5,983387,rating45-t
波西米亚狂想曲,,211,8.6,607985,rating45-t
人工智能,对爱的执着，可以超越一切。,212,8.7,449108,rating45-t
青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,213,8.6,529565,rating45-t
虎口脱险,永远看不腻的喜剧。,214,8.9,258633,rating45-t
终结者2：审判日,少见的超越首部的续集，动作片中的经典。,215,8.8,343488,rating45-t
疯狂的麦克斯4：狂暴之路,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,216,8.7,533344,rating45-t
罗生门,人生的N种可能性。,217,8.8,316294,rating45-t
末路狂花,没有了退路，只好飞向自由。,218,8.9,259308,rating45-t
新龙门客栈,嬉笑怒骂，调风动月。,219,8.7,446805,rating45-t
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,220,8.7,406231,rating45-t
千钧一发,一部能引人思考的科幻励志片。,221,8.8,300921,rating45-t
崖上的波妞,,222,8.6,500978,rating45-t
无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,223,8.6,480628,rating45-t
彗星来的那一夜,小成本大魅力。,224,8.6,583629,rating45-t
花束般的恋爱,,225,8.6,630058,rating45-t
奇迹男孩,世界不完美，爱会有奇迹。,226,8.6,553425,rating45-t
爱乐之城,,227,8.4,903704,rating4-t
二十二,有一些东西不应该被遗忘。,228,8.7,292388,rating45-t
芙蓉镇,,229,9.3,140602,rating45-t
黑客帝国2：重装上阵,一个精彩的世界观正在缓缓建立。,230,8.7,408400,rating45-t
血钻,每个美丽事物背后都是滴血的现实。,231,8.7,381948,rating45-t
战争之王,做一颗让别人需要你的棋子。,232,8.7,370704,rating45-t
哈利·波特与死亡圣器(上),最忠于原著的一部。,233,8.5,580264,rating45-t
步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,234,8.8,281019,rating45-t
房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,235,8.8,369206,rating45-t
魂断蓝桥,中国式内在的美国电影。,236,8.8,280078,rating45-t
火星救援,,237,8.5,732717,rating45-t
千年女优,爱情是一场没有尽头的虚幻追逐。,238,8.8,269294,rating45-t
谍影重重2,谁说王家卫镜头很晃？,239,8.7,354445,rating45-t
白日梦想家,,240,8.6,484271,rating45-t
哈利·波特与凤凰社,,241,8.5,574001,rating45-t
弱点,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,242,8.7,310837,rating45-t
阿飞正传,王家卫是一种风格，张国荣是一个代表。,243,8.5,513161,rating45-t
谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,244,8.6,428947,rating45-t
蜘蛛侠：平行宇宙,,245,8.6,668649,rating45-t
朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,246,8.6,455100,rating45-t
燃情岁月,传奇，不是每个人都可以拥有。,247,8.8,288057,rating45-t
再次出发之纽约遇见你,爱我就给我看你的播放列表。,248,8.6,428451,rating45-t
香水,一个单凭体香达到高潮的男人。,249,8.5,545961,rating45-t
发条橙,我完全康复了。,250,8.6,366541,rating45-t
